country,year,gdp_nominal
AFG,2002,4.367
AFG,2003,4.553
AFG,2004,5.146
AFG,2005,6.167
AFG,2006,6.925
AFG,2007,8.556
AFG,2008,10.297
AFG,2009,12.066
AFG,2010,15.325
AFG,2011,17.89
AFG,2012,20.293
AFG,2013,20.17
AFG,2014,20.616
AFG,2015,20.057
AFG,2016,18.02
AFG,2017,18.883
AFG,2018,18.336
AFG,2019,18.876
AFG,2020,20.136
AFG,2021,14.278
AFG,2022,14.501
AFG,2023,17.329
ALB,1980,1.946
ALB,1981,2.229
ALB,1982,2.296
ALB,1983,2.319
ALB,1984,2.29
ALB,1985,2.339
ALB,1986,2.587
ALB,1987,2.566
ALB,1988,2.53
ALB,1989,2.779
ALB,1990,2.221
ALB,1991,1.333
ALB,1992,0.843
ALB,1993,1.461
ALB,1994,2.361
ALB,1995,2.882
ALB,1996,3.2
ALB,1997,2.225
ALB,1998,2.555
ALB,1999,3.226
ALB,2000,3.488
ALB,2001,3.927
ALB,2002,4.356
ALB,2003,5.561
ALB,2004,7.177
ALB,2005,8.052
ALB,2006,8.896
ALB,2007,10.677
ALB,2008,12.881
ALB,2009,12.044
ALB,2010,11.937
ALB,2011,12.899
ALB,2012,12.324
ALB,2013,12.784
ALB,2014,13.246
ALB,2015,11.389
ALB,2016,11.862
ALB,2017,13.053
ALB,2018,15.157
ALB,2019,15.399
ALB,2020,15.192
ALB,2021,17.984
ALB,2022,19.083
ALB,2023,22.822
ALB,2024,26.13
ALB,2025,27.993
DZA,1980,45.957
DZA,1981,48.156
DZA,1982,48.599
DZA,1983,51.582
DZA,1984,55.906
DZA,1985,66.346
DZA,1986,66.783
DZA,1987,68.698
DZA,1988,56.07
DZA,1989,57.041
DZA,1990,67.171
DZA,1991,50.65
DZA,1992,53.414
DZA,1993,55.309
DZA,1994,46.044
DZA,1995,45.654
DZA,1996,50.945
DZA,1997,52.287
DZA,1998,52.297
DZA,1999,53.011
DZA,2000,59.418
DZA,2001,59.413
DZA,2002,61.516
DZA,2003,73.482
DZA,2004,91.914
DZA,2005,107.047
DZA,2006,123.084
DZA,2007,142.483
DZA,2008,180.384
DZA,2009,150.317
DZA,2010,177.785
DZA,2011,218.332
DZA,2012,227.144
DZA,2013,229.701
DZA,2014,238.943
DZA,2015,187.494
DZA,2016,180.764
DZA,2017,190.004
DZA,2018,194.507
DZA,2019,193.361
DZA,2020,164.774
DZA,2021,185.884
DZA,2022,225.631
DZA,2023,240.064
DZA,2024,260.134
DZA,2025,264.27
AGO,1980,8.73
AGO,1981,8.17
AGO,1982,8.17
AGO,1983,8.514
AGO,1984,9.025
AGO,1985,11.119
